                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3419,                 5.3547,                 2.0282,                0.73934,                0.60987,                0.73619,                0.57305,                 1.9856,                 2.5001,                 1.7654,              0.0003014,              0.0003014,              0.0003014
                      2,                 1.6754,                 2.3809,                 1.7744,                0.76699,                 0.7827,                 0.8679,                0.69469,                   1.87,                 1.3227,                 1.7151,             0.00057448,             0.00057448,             0.00057448
                      3,                 1.6122,                 1.8928,                 1.7494,                0.83682,                0.85186,                0.93571,                0.77823,                 1.6275,                 1.1434,                 1.6888,             0.00081756,             0.00081756,             0.00081756
                      4,                 1.4943,                 1.5606,                 1.7276,                0.89226,                0.80981,                0.93409,                0.78257,                   1.51,                 1.0021,                 1.6647,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.4157,                 1.3544,                 1.7078,                0.89097,                0.86443,                0.94731,                0.79823,                 1.6437,                0.94545,                 1.6799,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.3615,                 1.2238,                 1.7028,                0.89913,                0.89425,                0.95812,                0.80399,                 1.5486,                0.88138,                 1.6647,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.3032,                 1.1059,                 1.6914,                0.89141,                0.89379,                0.96699,                0.83962,                 1.3586,                0.79127,                 1.6485,             0.00063903,             0.00063903,             0.00063903
                      8,                 1.2589,                 1.0137,                 1.6813,                0.90878,                0.89664,                0.97009,                0.84099,                 1.3895,                0.76939,                 1.6405,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.2188,                0.94757,                 1.6681,                0.91807,                0.92268,                0.97473,                0.84316,                 1.4551,                0.74604,                 1.6386,             0.00054904,             0.00054904,             0.00054904
                     10,                  1.195,                0.90081,                 1.6677,                0.95178,                0.91207,                0.97942,                 0.8431,                 1.3887,                0.72699,                 1.6284,             0.00050404,             0.00050404,             0.00050404
                     11,                 1.1428,                0.88088,                 1.6448,                0.95531,                0.87442,                0.97584,                0.84331,                 1.4192,                0.72005,                 1.6275,             0.00045904,             0.00045904,             0.00045904
                     12,                 1.0976,                0.82306,                 1.6409,                0.94175,                0.93185,                0.98281,                0.87244,                 1.2041,                0.64246,                 1.6088,             0.00041405,             0.00041405,             0.00041405
                     13,                 1.0729,                 0.7837,                 1.6323,                0.94677,                0.93475,                0.98378,                0.86682,                 1.3434,                 0.6745,                 1.6093,             0.00036905,             0.00036905,             0.00036905
                     14,                 1.0331,                0.74471,                 1.6213,                0.93542,                  0.931,                0.98021,                0.87694,                 1.2577,                0.66918,                 1.6057,             0.00032406,             0.00032406,             0.00032406
                     15,                 0.9956,                0.70904,                 1.6154,                 0.9211,                0.95254,                0.98333,                 0.8783,                 1.2381,                0.63984,                  1.601,             0.00027906,             0.00027906,             0.00027906
                     16,                0.98097,                0.68768,                  1.606,                0.95201,                0.94743,                0.98836,                0.89679,                 1.2147,                0.60303,                 1.6002,             0.00023407,             0.00023407,             0.00023407
                     17,                0.94623,                0.66575,                 1.6016,                0.95254,                0.94676,                0.98703,                0.88789,                 1.2752,                0.61768,                 1.5994,             0.00018907,             0.00018907,             0.00018907
                     18,                0.92011,                0.64786,                 1.6027,                0.94629,                0.95304,                0.98884,                0.89511,                 1.2282,                0.60863,                 1.5951,             0.00014408,             0.00014408,             0.00014408
                     19,                0.89362,                0.62493,                 1.5978,                 0.9465,                0.95467,                0.98893,                0.90871,                 1.1292,                0.58247,                 1.5907,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 0.8725,                0.60903,                 1.5952,                0.94679,                0.95554,                 0.9882,                0.89877,                  1.226,                0.58481,                 1.5935,             5.4086e-05,             5.4086e-05,             5.4086e-05
