                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1703,                 5.4234,                 2.0123,                0.82534,                0.86143,                0.92282,                0.74486,                 1.6972,                  1.124,                 1.7075,              0.0003014,              0.0003014,              0.0003014
                      2,                 1.5615,                 1.2017,                 1.7602,                 0.9222,                0.87915,                0.97264,                0.79355,                 1.7254,                 1.0241,                 1.7066,             0.00058046,             0.00058046,             0.00058046
                      3,                 1.4787,                0.99813,                  1.739,                0.92005,                0.95115,                0.98278,                0.82339,                 1.4989,                0.77874,                  1.675,             0.00083553,             0.00083553,             0.00083553
                      4,                 1.4013,                 0.8665,                 1.7074,                0.93418,                0.94374,                 0.9842,                0.82823,                 1.4927,                0.76238,                 1.6611,             0.00080101,             0.00080101,             0.00080101
                      5,                 1.2846,                0.77856,                 1.6929,                0.96509,                0.93091,                0.98468,                0.84936,                 1.4329,                0.66739,                 1.6349,             0.00076501,             0.00076501,             0.00076501
                      6,                  1.231,                0.74145,                  1.679,                0.96555,                0.94299,                0.98815,                0.86169,                  1.318,                0.63453,                 1.6206,             0.00072902,             0.00072902,             0.00072902
                      7,                 1.2043,                0.68846,                 1.6728,                 0.9789,                0.95933,                0.99251,                0.86728,                 1.2812,                0.56852,                 1.6192,             0.00069302,             0.00069302,             0.00069302
                      8,                 1.1486,                0.65374,                 1.6654,                0.95301,                0.96996,                0.98985,                0.85729,                 1.3519,                0.59411,                 1.6673,             0.00065703,             0.00065703,             0.00065703
                      9,                  1.134,                0.64185,                 1.6655,                0.95109,                0.95384,                0.99053,                0.88036,                 1.3027,                0.60187,                 1.6123,             0.00062103,             0.00062103,             0.00062103
                     10,                 1.0826,                0.60468,                 1.6508,                0.95167,                0.99067,                0.99312,                0.89053,                 1.1747,                0.54577,                 1.6081,             0.00058503,             0.00058503,             0.00058503
                     11,                 1.0729,                0.60719,                 1.6454,                0.97198,                0.98088,                0.99299,                0.89771,                 1.2707,                0.53054,                 1.6036,             0.00054904,             0.00054904,             0.00054904
                     12,                 1.0636,                0.58184,                 1.6487,                0.97711,                0.97549,                0.99359,                0.90232,                 1.1941,                0.55944,                 1.5994,             0.00051304,             0.00051304,             0.00051304
                     13,                 1.0186,                0.56025,                 1.6377,                0.97144,                0.97745,                0.99367,                0.90989,                 1.1818,                0.50438,                 1.5993,             0.00047704,             0.00047704,             0.00047704
                     14,                 1.0037,                0.55014,                 1.6332,                 0.9939,                0.97432,                0.99418,                 0.9031,                 1.2565,                0.50801,                 1.5929,             0.00044105,             0.00044105,             0.00044105
                     15,                0.97937,                0.52883,                 1.6232,                0.97309,                0.98789,                0.99352,                0.89902,                 1.1905,                 0.5344,                 1.5872,             0.00040505,             0.00040505,             0.00040505
                     16,                0.98615,                0.52438,                 1.6128,                0.97756,                0.98082,                0.99184,                0.89266,                 1.2927,                0.51277,                 1.5953,             0.00036905,             0.00036905,             0.00036905
                     17,                0.91745,                 0.5005,                 1.5976,                0.99033,                0.98645,                0.99419,                0.91196,                 1.2052,                0.47403,                 1.5889,             0.00033306,             0.00033306,             0.00033306
                     18,                0.90872,                0.49016,                 1.5977,                0.98825,                0.99606,                0.99483,                0.91847,                 1.1622,                0.45098,                 1.5854,             0.00029706,             0.00029706,             0.00029706
                     19,                0.88349,                 0.4713,                 1.5925,                0.98523,                  0.995,                0.99472,                0.91617,                 1.1775,                0.46552,                 1.5829,             0.00026106,             0.00026106,             0.00026106
                     20,                0.86487,                0.46037,                 1.5882,                0.97919,                0.99683,                0.99493,                0.90649,                 1.2584,                0.47267,                 1.5857,             0.00022507,             0.00022507,             0.00022507
                     21,                0.83736,                0.44139,                 1.5825,                0.98707,                0.98998,                0.99437,                0.92042,                 1.1191,                0.43649,                 1.5793,             0.00018907,             0.00018907,             0.00018907
                     22,                0.82806,                0.43202,                 1.5815,                0.99336,                0.98689,                0.99469,                0.91728,                 1.2247,                0.48295,                 1.5818,             0.00015308,             0.00015308,             0.00015308
                     23,                0.80614,                0.42228,                 1.5774,                0.98706,                0.98944,                0.99464,                0.92556,                  1.127,                0.44322,                 1.5752,             0.00011708,             0.00011708,             0.00011708
                     24,                0.78186,                 0.4053,                 1.5708,                 0.9856,                0.99513,                0.99468,                0.92762,                 1.0832,                0.41467,                 1.5741,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     25,                0.76047,                0.39901,                 1.5722,                 0.9924,                0.97986,                0.99449,                0.93051,                 1.0925,                0.41871,                  1.569,             4.5086e-05,             4.5086e-05,             4.5086e-05
